Shipping-Receiving Clerk,"""General summary:\r\n\tThe Receiving Clerk is responsible for managing the receiving of Direct Store Deliveries (DSD) product; as well as managing the computer inventory management process. They act as part of the store management team and assists the Store Manager in the daily running of the store\r\n\twhen needed.\n\nMajor Duties and Responsibilities:\n\n\r\n\t\tConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\r\n\t\tResponsible for deliveries or pickups of product, including moving products within and outside of store\n\r\n\t\tFollows all policies and procedures regarding receiving of merchandise, vendor involvement, and invoice processing\n\r\n\t\tAssists in the execution of all Merchandise Calendars, campaigns, and\r\n\t\tsales promotions\n\r\n\t\tEnsure all pricing, signage, and display is correct at all times\n\r\n\t\tResponsible for controlling inventory stock levels and reordering as\r\n\t\tnecessary within budget\n\r\n\t\tEnforces all company policies and procedures, including health, safety,\r\n\t\tand security\n\r\n\t\tManages and controls shrink\n\r\n\t\tDemonstrates desired behaviors for staff including driving sales, handling\r\n\t\tdifficult and/or complicated sales, cash management, inventory, and\r\n\t\tfollow-up with customers\n\r\n\t\tAssists Store Manager in providing a strong leadership presence and\r\n\t\tcontrol in store, while ensuring that all customers receive good service\r\n\t\tand quality merchandise\n\r\n\t\tUtilizes company tools to diagnose opportunities and develops action\r\n\t\tplans to improve performance\n\r\n\t\tRegularly communicates with Store Manager to discuss strengths,\r\n\t\topportunities, and trends in business\n\r\n\t\tMaintains good working relationships with vendors\n\r\n\t\tProvides direction, support, and ongoing feedback to staff\n\r\n\t\tLeverages individual staff strengths, and creates developmental plans to\r\n\t\tprepare all level positions for future growth within the organization\n\r\n\t\tEnsures staff is trained and knowledgeable in both merchandise and\r\n\t\toperations\n\r\n\t\tEnsures company standards are met for store and associate appearance\r\n\t\tat all times""",BevMo!,"6228 East Broadway, Suite 100, AZ, Tucson, 85711"
Store Manager,"""General summary:\n\nThe Store Manager motivates and inspires the team to achieve store productivity goals. They will do this by analyzing business and market trends as well as historical data to create strategies to drive top line sales. They will lead a team including Assistant Manager, Head Clerks, Receiving Manager, and Sales employees; as well as manage payroll budgets and store controlled expenses to ensure store\u2019s contribution is on target. \n\n\u00a0\u00a0\n\nMajor Duties and Responsibilities:\n\n\nAssumes overall responsibility for the store\n\nConsistently creates a welcoming environment for the customer by greeting and assisting and well as quickly responding to customer inquires and needs\n\nDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\nMaintains a strong leadership presence in store, while ensuring that all customers receive exceptionalservice \n\nEnsures company standards are met for store and associate appearance at all times\n\nPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\nConsistently reviews payroll, ensuring appropriate staff levels at all times\n\nPlans, coordinates, and executes all merchandising direction, campaigns, and sales promotions in a timely manner\n\nCoaches team in the moment, providing consistent and constructive feedback\n\nUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\nEnsures staff is trained and knowledgeable in customer service, merchandise and operations\n\nManages and assesses staff performance through consistent feedback, coaching, developmental plans, and performance appraisals\n\nForecasts/reforecast business, focusing on productivity to meet sales goals\n\nEnforce all company policies and procedures, including health, safety, and security\n\nManages store controlled expenses to budget, identifying opportunities to increase contribution\n\nManages and controls shrink\n\nRegularly communicates with District Manager to discuss strengths, opportunities, and trends in business\n\nIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\nPartner with corporate office personnel to increase sales, drive/promote merchandise categories, and expand markets\n\nCreates customer loyalty and creates relationships within local community\n\nEnsures all pricing, signage, and displays are correct at all times\n\nReceives regular vendor deliveries and stock sales floor in a timely manner\n\nResponsible for monitoring inventory stock levels""",BevMo!,"4646 North Oracle, Suite 130, AZ, Tucson, 85705"
Sales Associate (part-time),"""General summary:\nThe right candidate will demonstrate exceptional customer service and selling skills, be knowledgeable in all product categories, and be ready to assist customers with determining their needs.\u00a0 Our Sales Associates are encouraged to foster a collaborative work environment, ensuring a positive internal and external customer experience.\r\n\t\u00a0\nMajor Duties and Responsibilities:\n\n\nConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to their inquiries and needs\n\nKnowledgeable in all merchandise categories and able to make appropriate suggestions\r\n\t\tto the customers\n\nEnsures that all customers receive good service and quality merchandise\n\nIdentifies opportunities to drive traffic into the store through community events\r\n\t\t(weddings, parties, etc.) and communicates efforts to the Store Manager\n\nFully understands and can communicate PartyMo! to all interested\r\n\t\tcustomers\n\nRegularly communicates with Store Manager and Assistant Store Manager to keep\r\n\t\tinformed on all sales, promotions, and campaigns\n\nMaintains open and flexible availability to accommodate store needs\n\nEnsures company standards are met for store and associate appearance at all times\n\nAssists in the maintenance of the store to ensure cleanliness and organization at all\r\n\t\t\u00a0times\n\nStocks and organizes merchandise as necessary\n\nAssists in ordering merchandise as directed by Store and/or Assistant Store Managers\n\nAssists in the execution of the Merchandise Calendar, campaigns, and sales promotions\r\n\t\tas necessary\n\nKnowledgeable on all pricing and signage\n\nAssists in receiving regular vendor deliveries and replenishing sales floor in a timely\r\n\t\tmanner\n\nEnforce all company policies and procedures, including health, safety, and security\n\nPerforms any other duties as directed by supervisors""",BevMo!,"6228 East Broadway, Suite 100, AZ, Tucson, 85711"
Head Clerk,"""General Summary:\n\nThe Head Clerk assists the Store Manager and Assistant Store Manager in motivating and inspiring the team to achieve store productivity goals.\u00a0 They help manage the payroll budget to ensure the store\u2019s contribution is on target.\u00a0 The Head Clerk also provides a strong leadership presence and control in the store, while ensuring that all customers receive good service and quality merchandise.\n\nMajor Duties and Responsibilities:\n\n\n\u00a0Assists Store Manager and Assistant Store Manager in responsibility for the store\n\nConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\nDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\nPerforms all duties of an Associate while also functioning as a Head Clerk\n\nUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\nForecasts/reforecast business, focusing on productivity to meet sales goals\n\nIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\nRegularly communicates with Store Manager to discuss strengths, opportunities, and trends in business\n\nAssists Store Manager in partnering with Corporate Service Center personnel to increase sales, drive/promote merchandise categories, and expand markets\n\nHelps Store Manager in identifying training needs and providing on-going training opportunities as needed\n\nProvides direction, support, and ongoing feedback to staff\n\nLeverages individual staff strengths\n\nAssists in hiring to the needs of the business, actively recruiting to ensure open positions are filled quickly\n\nAssists Store Manager and Assistant Store Manager in delivering consistent, in the moment, feedback and coaching\n\nEnsures company standards are met for store and associate appearance at all times\n\nPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\nConsistently reviews payroll, ensuring appropriate staff levels at all times\n\nPlans, coordinates, and executes all Merchandise Calendar direction, campaigns, and sales promotions in a timely manner\n\nEnsures all pricing, signage, and display information\u00a0is correct at all times\n\nReceives regular vendor deliveries and stock sales floor in a timely manner\n\nResponsible for controlling inventory stock levels and reordering as necessary within budget\n\nEnforces all company policies and procedures, including health, safety, and security\n\nManages and controls shrink\n\nPerforms all duties as directed by supervisors""",BevMo!,"6228 East Broadway, Suite 100, AZ, Tucson, 85711"
Store Manager,"""General summary:\n\nThe Store Manager motivates and inspires the team to achieve store productivity goals. They will do this by analyzing business and market trends as well as historical data to create strategies to drive top line sales. They will lead a team including Assistant Manager, Head Clerks, Receiving Manager, and Sales employees; as well as manage payroll budgets and store controlled expenses to ensure store\u2019s contribution is on target. \n\n\u00a0\u00a0\n\nMajor Duties and Responsibilities:\n\n\nAssumes overall responsibility for the store\n\nConsistently creates a welcoming environment for the customer by greeting and assisting and well as quickly responding to customer inquires and needs\n\nDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\nMaintains a strong leadership presence in store, while ensuring that all customers receive exceptionalservice \n\nEnsures company standards are met for store and associate appearance at all times\n\nPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\nConsistently reviews payroll, ensuring appropriate staff levels at all times\n\nPlans, coordinates, and executes all merchandising direction, campaigns, and sales promotions in a timely manner\n\nCoaches team in the moment, providing consistent and constructive feedback\n\nUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\nEnsures staff is trained and knowledgeable in customer service, merchandise and operations\n\nManages and assesses staff performance through consistent feedback, coaching, developmental plans, and performance appraisals\n\nForecasts/reforecast business, focusing on productivity to meet sales goals\n\nEnforce all company policies and procedures, including health, safety, and security\n\nManages store controlled expenses to budget, identifying opportunities to increase contribution\n\nManages and controls shrink\n\nRegularly communicates with District Manager to discuss strengths, opportunities, and trends in business\n\nIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\nPartner with corporate office personnel to increase sales, drive/promote merchandise categories, and expand markets\n\nCreates customer loyalty and creates relationships within local community\n\nEnsures all pricing, signage, and displays are correct at all times\n\nReceives regular vendor deliveries and stock sales floor in a timely manner\n\nResponsible for monitoring inventory stock levels""",BevMo!,"6228 East Broadway, Suite 100, AZ, Tucson, 85711"
Assistant Store Manager,"""General summary:\n\nThe Assistant Store Manager assists the Store Manager in motivating and inspiring their team to achieve store productivity goals. They help the Store Manager to analyze week to date, period to date, and year to date sales, and develop action plans to drive top line sales. Other responsibilities include; managing payroll budgets to ensure store\u2019s contribution is on target, ensuring the individual and collective skills of the team are utilized effectively, and both the staff and customer experience is positive. Assists Store Manager in recruiting and hiring appropriately to ensure store is fully staffed at all times. Effectively manages store operations, ensuring consistency and compliance.\n\nMajor Duties and Responsibilities:\n\n\r\n\t\tAssists Store Manager in responsibility for the store\n\r\n\t\tConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\r\n\t\tDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\r\n\t\tAssists Store Manager with providing a strong leadership presence and control in store, while ensuring that all customers receive good service and quality merchandise\n\r\n\t\tUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\r\n\t\tForecasts/reforecast business, focusing on productivity to meet sales goals\n\r\n\t\tIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\r\n\t\tRegularly communicates with Store Manager to discuss strengths, opportunities, and trends in business\n\r\n\t\tAssists Store Manager in partnering with corporate office personnel to increase sales, drive/promote merchandise categories, and expand markets\n\r\n\t\tHelps Store Manager in identifying training needs and providing ongoing training opportunities to the team as needed\n\r\n\t\tLeverages individual staff strengths, and creates developmental plans to prepare all level positions for future growth within the organization\n\r\n\t\tAssists in hiring to the needs of the business, actively recruiting to ensure open positions are filled quickly\n\r\n\t\tAssists Store Manager in delivering consistent, in the moment, feedback and coaching\n\r\n\t\tEnsures company standards are met for store and associate appearance at all times\n\r\n\t\tPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\r\n\t\tPlans, coordinates, and executes all Merchandise Calendar direction, campaigns, and sales promotions in a timely manner\n\r\n\t\tEnsures all pricing, signage, and displays are correct at all times\n\r\n\t\tReceives regular vendor deliveries and stocks sales floor in a timely manner\n\r\n\t\tResponsible for controlling inventory stock levels and reordering as necessary within budget\n\r\n\t\tEnforces all company policies and procedures, including health, safety, and security\n\r\n\t\tManages and controls shrink\n\r\n\t\tPerforms all duties as directed by supervisor""",BevMo!,"7230 West Ray Rd. Suite 4, AZ, Chandler, 85226"
Sales Associate (part-time),"""General summary:\nThe right candidate will demonstrate exceptional customer service and selling skills, be knowledgeable in all product categories, and be ready to assist customers with determining their needs.\u00a0 Our Sales Associates are encouraged to foster a collaborative work environment, ensuring a positive internal and external customer experience.\r\n\t\u00a0\nMajor Duties and Responsibilities:\n\n\nConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to their inquiries and needs\n\nKnowledgeable in all merchandise categories and able to make appropriate suggestions\r\n\t\tto the customers\n\nEnsures that all customers receive good service and quality merchandise\n\nIdentifies opportunities to drive traffic into the store through community events\r\n\t\t(weddings, parties, etc.) and communicates efforts to the Store Manager\n\nFully understands and can communicate PartyMo! to all interested\r\n\t\tcustomers\n\nRegularly communicates with Store Manager and Assistant Store Manager to keep\r\n\t\tinformed on all sales, promotions, and campaigns\n\nMaintains open and flexible availability to accommodate store needs\n\nEnsures company standards are met for store and associate appearance at all times\n\nAssists in the maintenance of the store to ensure cleanliness and organization at all\r\n\t\t\u00a0times\n\nStocks and organizes merchandise as necessary\n\nAssists in ordering merchandise as directed by Store and/or Assistant Store Managers\n\nAssists in the execution of the Merchandise Calendar, campaigns, and sales promotions\r\n\t\tas necessary\n\nKnowledgeable on all pricing and signage\n\nAssists in receiving regular vendor deliveries and replenishing sales floor in a timely\r\n\t\tmanner\n\nEnforce all company policies and procedures, including health, safety, and security\n\nPerforms any other duties as directed by supervisors""",BevMo!,"7230 West Ray Rd. Suite 4, AZ, Chandler, 85226"
Shipping-Receiving Clerk,"""General summary:\r\n\tThe Receiving Clerk is responsible for managing the receiving of Direct Store Deliveries (DSD) product; as well as managing the computer inventory management process. They act as part of the store management team and assists the Store Manager in the daily running of the store\r\n\twhen needed.\n\nMajor Duties and Responsibilities:\n\n\r\n\t\tConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\r\n\t\tResponsible for deliveries or pickups of product, including moving products within and outside of store\n\r\n\t\tFollows all policies and procedures regarding receiving of merchandise, vendor involvement, and invoice processing\n\r\n\t\tAssists in the execution of all Merchandise Calendars, campaigns, and\r\n\t\tsales promotions\n\r\n\t\tEnsure all pricing, signage, and display is correct at all times\n\r\n\t\tResponsible for controlling inventory stock levels and reordering as\r\n\t\tnecessary within budget\n\r\n\t\tEnforces all company policies and procedures, including health, safety,\r\n\t\tand security\n\r\n\t\tManages and controls shrink\n\r\n\t\tDemonstrates desired behaviors for staff including driving sales, handling\r\n\t\tdifficult and/or complicated sales, cash management, inventory, and\r\n\t\tfollow-up with customers\n\r\n\t\tAssists Store Manager in providing a strong leadership presence and\r\n\t\tcontrol in store, while ensuring that all customers receive good service\r\n\t\tand quality merchandise\n\r\n\t\tUtilizes company tools to diagnose opportunities and develops action\r\n\t\tplans to improve performance\n\r\n\t\tRegularly communicates with Store Manager to discuss strengths,\r\n\t\topportunities, and trends in business\n\r\n\t\tMaintains good working relationships with vendors\n\r\n\t\tProvides direction, support, and ongoing feedback to staff\n\r\n\t\tLeverages individual staff strengths, and creates developmental plans to\r\n\t\tprepare all level positions for future growth within the organization\n\r\n\t\tEnsures staff is trained and knowledgeable in both merchandise and\r\n\t\toperations\n\r\n\t\tEnsures company standards are met for store and associate appearance\r\n\t\tat all times""",BevMo!,"7230 West Ray Rd. Suite 4, AZ, Chandler, 85226"
Head Clerk,"""General Summary:\n\nThe Head Clerk assists the Store Manager and Assistant Store Manager in motivating and inspiring the team to achieve store productivity goals.\u00a0 They help manage the payroll budget to ensure the store\u2019s contribution is on target.\u00a0 The Head Clerk also provides a strong leadership presence and control in the store, while ensuring that all customers receive good service and quality merchandise.\n\nMajor Duties and Responsibilities:\n\n\n\u00a0Assists Store Manager and Assistant Store Manager in responsibility for the store\n\nConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\nDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\nPerforms all duties of an Associate while also functioning as a Head Clerk\n\nUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\nForecasts/reforecast business, focusing on productivity to meet sales goals\n\nIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\nRegularly communicates with Store Manager to discuss strengths, opportunities, and trends in business\n\nAssists Store Manager in partnering with Corporate Service Center personnel to increase sales, drive/promote merchandise categories, and expand markets\n\nHelps Store Manager in identifying training needs and providing on-going training opportunities as needed\n\nProvides direction, support, and ongoing feedback to staff\n\nLeverages individual staff strengths\n\nAssists in hiring to the needs of the business, actively recruiting to ensure open positions are filled quickly\n\nAssists Store Manager and Assistant Store Manager in delivering consistent, in the moment, feedback and coaching\n\nEnsures company standards are met for store and associate appearance at all times\n\nPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\nConsistently reviews payroll, ensuring appropriate staff levels at all times\n\nPlans, coordinates, and executes all Merchandise Calendar direction, campaigns, and sales promotions in a timely manner\n\nEnsures all pricing, signage, and display information\u00a0is correct at all times\n\nReceives regular vendor deliveries and stock sales floor in a timely manner\n\nResponsible for controlling inventory stock levels and reordering as necessary within budget\n\nEnforces all company policies and procedures, including health, safety, and security\n\nManages and controls shrink\n\nPerforms all duties as directed by supervisors""",BevMo!,"7230 West Ray Rd. Suite 4, AZ, Chandler, 85226"
Store Manager,"""General summary:\n\nThe Store Manager motivates and inspires the team to achieve store productivity goals. They will do this by analyzing business and market trends as well as historical data to create strategies to drive top line sales. They will lead a team including Assistant Manager, Head Clerks, Receiving Manager, and Sales employees; as well as manage payroll budgets and store controlled expenses to ensure store\u2019s contribution is on target. \n\n\u00a0\u00a0\n\nMajor Duties and Responsibilities:\n\n\nAssumes overall responsibility for the store\n\nConsistently creates a welcoming environment for the customer by greeting and assisting and well as quickly responding to customer inquires and needs\n\nDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\nMaintains a strong leadership presence in store, while ensuring that all customers receive exceptionalservice \n\nEnsures company standards are met for store and associate appearance at all times\n\nPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\nConsistently reviews payroll, ensuring appropriate staff levels at all times\n\nPlans, coordinates, and executes all merchandising direction, campaigns, and sales promotions in a timely manner\n\nCoaches team in the moment, providing consistent and constructive feedback\n\nUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\nEnsures staff is trained and knowledgeable in customer service, merchandise and operations\n\nManages and assesses staff performance through consistent feedback, coaching, developmental plans, and performance appraisals\n\nForecasts/reforecast business, focusing on productivity to meet sales goals\n\nEnforce all company policies and procedures, including health, safety, and security\n\nManages store controlled expenses to budget, identifying opportunities to increase contribution\n\nManages and controls shrink\n\nRegularly communicates with District Manager to discuss strengths, opportunities, and trends in business\n\nIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\nPartner with corporate office personnel to increase sales, drive/promote merchandise categories, and expand markets\n\nCreates customer loyalty and creates relationships within local community\n\nEnsures all pricing, signage, and displays are correct at all times\n\nReceives regular vendor deliveries and stock sales floor in a timely manner\n\nResponsible for monitoring inventory stock levels""",BevMo!,"7230 West Ray Rd. Suite 4, AZ, Chandler, 85226"
Assistant Store Manager,"""General summary:\n\nThe Assistant Store Manager assists the Store Manager in motivating and inspiring their team to achieve store productivity goals. They help the Store Manager to analyze week to date, period to date, and year to date sales, and develop action plans to drive top line sales. Other responsibilities include; managing payroll budgets to ensure store\u2019s contribution is on target, ensuring the individual and collective skills of the team are utilized effectively, and both the staff and customer experience is positive. Assists Store Manager in recruiting and hiring appropriately to ensure store is fully staffed at all times. Effectively manages store operations, ensuring consistency and compliance.\n\nMajor Duties and Responsibilities:\n\n\r\n\t\tAssists Store Manager in responsibility for the store\n\r\n\t\tConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\r\n\t\tDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\r\n\t\tAssists Store Manager with providing a strong leadership presence and control in store, while ensuring that all customers receive good service and quality merchandise\n\r\n\t\tUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\r\n\t\tForecasts/reforecast business, focusing on productivity to meet sales goals\n\r\n\t\tIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\r\n\t\tRegularly communicates with Store Manager to discuss strengths, opportunities, and trends in business\n\r\n\t\tAssists Store Manager in partnering with corporate office personnel to increase sales, drive/promote merchandise categories, and expand markets\n\r\n\t\tHelps Store Manager in identifying training needs and providing ongoing training opportunities to the team as needed\n\r\n\t\tLeverages individual staff strengths, and creates developmental plans to prepare all level positions for future growth within the organization\n\r\n\t\tAssists in hiring to the needs of the business, actively recruiting to ensure open positions are filled quickly\n\r\n\t\tAssists Store Manager in delivering consistent, in the moment, feedback and coaching\n\r\n\t\tEnsures company standards are met for store and associate appearance at all times\n\r\n\t\tPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\r\n\t\tPlans, coordinates, and executes all Merchandise Calendar direction, campaigns, and sales promotions in a timely manner\n\r\n\t\tEnsures all pricing, signage, and displays are correct at all times\n\r\n\t\tReceives regular vendor deliveries and stocks sales floor in a timely manner\n\r\n\t\tResponsible for controlling inventory stock levels and reordering as necessary within budget\n\r\n\t\tEnforces all company policies and procedures, including health, safety, and security\n\r\n\t\tManages and controls shrink\n\r\n\t\tPerforms all duties as directed by supervisor""",BevMo!,"6712 W. Bell Road, AZ, Glendale, 85308"
Head Clerk,"""General Summary:\n\nThe Head Clerk assists the Store Manager and Assistant Store Manager in motivating and inspiring the team to achieve store productivity goals.\u00a0 They help manage the payroll budget to ensure the store\u2019s contribution is on target.\u00a0 The Head Clerk also provides a strong leadership presence and control in the store, while ensuring that all customers receive good service and quality merchandise.\n\nMajor Duties and Responsibilities:\n\n\n\u00a0Assists Store Manager and Assistant Store Manager in responsibility for the store\n\nConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\nDemonstrates desired behaviors for staff including driving sales, handling difficult and/or complicated sales, cash management, inventory, and follow-up with customers\n\nPerforms all duties of an Associate while also functioning as a Head Clerk\n\nUtilizes company tools to diagnose opportunities and develops action plans to improve performance\n\nForecasts/reforecast business, focusing on productivity to meet sales goals\n\nIdentifies opportunities to drive traffic into the store through community events (weddings, parties, etc.)\n\nRegularly communicates with Store Manager to discuss strengths, opportunities, and trends in business\n\nAssists Store Manager in partnering with Corporate Service Center personnel to increase sales, drive/promote merchandise categories, and expand markets\n\nHelps Store Manager in identifying training needs and providing on-going training opportunities as needed\n\nProvides direction, support, and ongoing feedback to staff\n\nLeverages individual staff strengths\n\nAssists in hiring to the needs of the business, actively recruiting to ensure open positions are filled quickly\n\nAssists Store Manager and Assistant Store Manager in delivering consistent, in the moment, feedback and coaching\n\nEnsures company standards are met for store and associate appearance at all times\n\nPrioritizes, plans, and adjusts schedules as necessary to maximize sales\n\nConsistently reviews payroll, ensuring appropriate staff levels at all times\n\nPlans, coordinates, and executes all Merchandise Calendar direction, campaigns, and sales promotions in a timely manner\n\nEnsures all pricing, signage, and display information\u00a0is correct at all times\n\nReceives regular vendor deliveries and stock sales floor in a timely manner\n\nResponsible for controlling inventory stock levels and reordering as necessary within budget\n\nEnforces all company policies and procedures, including health, safety, and security\n\nManages and controls shrink\n\nPerforms all duties as directed by supervisors""",BevMo!,"6712 W. Bell Road, AZ, Glendale, 85308"
Sales Associate (part-time),"""General summary:\nThe right candidate will demonstrate exceptional customer service and selling skills, be knowledgeable in all product categories, and be ready to assist customers with determining their needs.\u00a0 Our Sales Associates are encouraged to foster a collaborative work environment, ensuring a positive internal and external customer experience.\r\n\t\u00a0\nMajor Duties and Responsibilities:\n\n\nConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to their inquiries and needs\n\nKnowledgeable in all merchandise categories and able to make appropriate suggestions\r\n\t\tto the customers\n\nEnsures that all customers receive good service and quality merchandise\n\nIdentifies opportunities to drive traffic into the store through community events\r\n\t\t(weddings, parties, etc.) and communicates efforts to the Store Manager\n\nFully understands and can communicate PartyMo! to all interested\r\n\t\tcustomers\n\nRegularly communicates with Store Manager and Assistant Store Manager to keep\r\n\t\tinformed on all sales, promotions, and campaigns\n\nMaintains open and flexible availability to accommodate store needs\n\nEnsures company standards are met for store and associate appearance at all times\n\nAssists in the maintenance of the store to ensure cleanliness and organization at all\r\n\t\t\u00a0times\n\nStocks and organizes merchandise as necessary\n\nAssists in ordering merchandise as directed by Store and/or Assistant Store Managers\n\nAssists in the execution of the Merchandise Calendar, campaigns, and sales promotions\r\n\t\tas necessary\n\nKnowledgeable on all pricing and signage\n\nAssists in receiving regular vendor deliveries and replenishing sales floor in a timely\r\n\t\tmanner\n\nEnforce all company policies and procedures, including health, safety, and security\n\nPerforms any other duties as directed by supervisors""",BevMo!,"6712 W. Bell Road, AZ, Glendale, 85308"
Shipping-Receiving Clerk,"""General summary:\r\n\tThe Receiving Clerk is responsible for managing the receiving of Direct Store Deliveries (DSD) product; as well as managing the computer inventory management process. They act as part of the store management team and assists the Store Manager in the daily running of the store\r\n\twhen needed.\n\nMajor Duties and Responsibilities:\n\n\r\n\t\tConsistently creates a welcoming environment for the customer by greeting and assisting; as well as quickly responding to customer inquiries and needs\n\r\n\t\tResponsible for deliveries or pickups of product, including moving products within and outside of store\n\r\n\t\tFollows all policies and procedures regarding receiving of merchandise, vendor involvement, and invoice processing\n\r\n\t\tAssists in the execution of all Merchandise Calendars, campaigns, and\r\n\t\tsales promotions\n\r\n\t\tEnsure all pricing, signage, and display is correct at all times\n\r\n\t\tResponsible for controlling inventory stock levels and reordering as\r\n\t\tnecessary within budget\n\r\n\t\tEnforces all company policies and procedures, including health, safety,\r\n\t\tand security\n\r\n\t\tManages and controls shrink\n\r\n\t\tDemonstrates desired behaviors for staff including driving sales, handling\r\n\t\tdifficult and/or complicated sales, cash management, inventory, and\r\n\t\tfollow-up with customers\n\r\n\t\tAssists Store Manager in providing a strong leadership presence and\r\n\t\tcontrol in store, while ensuring that all customers receive good service\r\n\t\tand quality merchandise\n\r\n\t\tUtilizes company tools to diagnose opportunities and develops action\r\n\t\tplans to improve performance\n\r\n\t\tRegularly communicates with Store Manager to discuss strengths,\r\n\t\topportunities, and trends in business\n\r\n\t\tMaintains good working relationships with vendors\n\r\n\t\tProvides direction, support, and ongoing feedback to staff\n\r\n\t\tLeverages individual staff strengths, and creates developmental plans to\r\n\t\tprepare all level positions for future growth within the organization\n\r\n\t\tEnsures staff is trained and knowledgeable in both merchandise and\r\n\t\toperations\n\r\n\t\tEnsures company standards are met for store and associate appearance\r\n\t\tat all times""",BevMo!,"6712 W. Bell Road, AZ, Glendale, 85308"
